SIG_KOR_NM,총인구수,남자인구수,여자인구수,SIG_CD
종로구,144543,70117,74426,11110
중구,122315,59510,62805,11140
용산구,222573,107050,115523,11170
성동구,285516,139135,146381,11200
광진구,340002,163993,176009,11215
동대문구,337419,166657,170762,11230
중랑구,387598,191221,196377,11260
성북구,430074,207333,222741,11290
강북구,298727,145500,153227,11305
도봉구,317150,154326,162824,11320
노원구,510805,245896,264909,11350
은평구,473122,226269,246853,11380
서대문구,305113,145759,159354,11410
마포구,368617,173323,195294,11440
양천구,446895,219023,227872,11470
강서구,574001,276132,297869,11500
구로구,396515,195351,201164,11530
금천구,230881,116487,114394,11545
영등포구,376949,185964,190985,11560
동작구,385478,186452,199026,11590
관악구,485610,243967,241643,11620
서초구,411539,196611,214928,11650
강남구,533173,255107,278066,11680
송파구,658859,317556,341303,11710
강동구,462452,226892,235560,11740
중구,40537,19762,20775,26110
서구,104863,50735,54128,26140
동구,87906,42975,44931,26170
영도구,110425,54372,56053,26200
부산진구,352462,169873,182589,26230
동래구,270338,131400,138938,26260
남구,261209,127568,133641,26290
북구,282535,139412,143123,26320
해운대구,395788,190236,205552,26350
사하구,305922,152112,153810,26380
금정구,226875,110929,115946,26410
강서구,143098,74123,68975,26440
연제구,207342,99861,107481,26470
수영구,174867,82492,92375,26500
사상구,207772,104769,103003,26530
기장군,176935,87588,89347,26710
중구,74786,35926,38860,27110
동구,341710,167954,173756,27140
서구,164127,82007,82120,27170
남구,142753,68566,74187,27200
북구,437023,217416,219607,27230
수성구,416706,201531,215175,27260
달서구,544366,268134,276232,27290
달성군,262387,133133,129254,27710
중구,144088,74902,69186,28110
동구,61222,30841,30381,28140
미추홀구,407353,205146,202207,28177
연수구,389263,193216,196047,28185
남동구,517894,257279,260615,28200
부평구,486445,240164,246281,28237
계양구,295450,147196,148254,28245
서구,557342,281427,275915,28260
강화군,69748,34896,34852,28710
옹진군,20345,11596,8749,28720
동구,103466,51014,52452,29110
서구,291235,142697,148538,29140
남구,215739,103653,112086,29155
북구,426877,211893,214984,29170
광산구,404319,203780,200539,29200
동구,221592,111632,109960,30110
중구,229555,113073,116482,30140
서구,473019,232482,240537,30170
유성구,351622,177638,173984,30200
대덕구,175484,89201,86283,30230
중구,212502,107574,104928,31110
남구,313427,159866,153561,31140
동구,153975,80358,73617,31170
북구,219121,113418,105703,31200
울주군,222075,114723,107352,31710
세종시,374377,186907,187470,36110
장안구,273399,137537,135862,41111
권선구,367044,185404,181640,41113
팔달구,181990,91763,90227,41115
영통구,361971,181521,180450,41117
수정구,235887,119515,116372,41131
중원구,210344,106563,103781,41133
분당구,484841,235173,249668,41135
의정부시,484841,235173,249668,41150
만안구,237288,118729,118559,41171
동안구,311366,152562,158804,41173
부천시,804990,398884,406106,41190
광명시,292214,144045,148169,41210
평택시,565827,294957,270870,41220
동두천시,93527,46663,46864,41250
상록구,349973,178608,171365,41271
단원구,302063,155723,146340,41273
덕양구,483251,238480,244771,41281
일산동구,298593,145188,153405,41285
일산서구,297080,144086,152994,41287
과천시,76139,37479,38660,41290
구리시,191660,95043,96617,41310
남양주시,734013,365168,368845,41360
오산시,229973,119451,110522,41370
시흥시,512092,267436,244656,41390
군포시,267941,132899,135042,41410
의왕시,163040,80966,82074,41430
하남시,321043,160622,160421,41450
처인구,259969,133382,126587,41461
기흥구,441419,217849,223570,41463
수지구,375442,182932,192510,41465
파주시,484729,245879,238850,41480
이천시,222997,115704,107293,41500
안성시,189510,97864,91646,41550
김포시,486651,243429,243222,41570
화성시,887910,461279,426631,41590
광주시,387563,197738,189825,41610
양주시,236284,119759,116525,41630
포천시,148867,78888,69979,41650
여주시,112353,57131,55222,41670
연천군,42739,22416,20323,41800
가평군,62291,32135,30156,41820
양평군,121300,60885,60415,41830
춘천시,284933,140699,144234,42110
원주시,358127,177567,180560,42130
강릉시,212907,105648,107259,42150
동해시,90045,45754,44291,42170
태백시,40750,20600,20150,42190
속초시,82771,41050,41721,42210
삼척시,63458,32059,31399,42230
홍천군,68251,35130,33121,42720
횡성군,46436,23833,22603,42730
영월군,37893,19607,18286,42750
평창군,41120,21148,19972,42760
정선군,35634,18537,17097,42770
철원군,43166,22356,20810,42780
화천군,24105,13102,11003,42790
양구군,21705,11442,10263,42800
인제군,32236,17514,14722,42810
고성군,27257,14047,13210,42820
양양군,27866,14222,13644,42830
서원구,192993,96011,96982,43112
청원구,194195,99840,94355,43114
상당구,194105,96395,97710,43111
흥덕구,267504,135811,131693,43113
충주시,209368,105933,103435,43130
제천시,131407,66113,65294,43150
보은군,31871,16071,15800,43720
옥천군,50020,25208,24812,43730
영동군,45692,22764,22928,43740
증평군,36583,19081,17502,43745
진천군,85458,44861,40597,43750
괴산군,37525,19313,18212,43760
음성군,92113,48837,43276,43770
단양군,28263,14310,13953,43800
당진시,167050,88930,78120,44270
동남구,255273,129441,125832,44131
서북구,402877,207111,195766,44133
공주시,103021,51423,51598,44150
보령시,98142,49781,48361,44180
아산시,325412,169380,156032,44200
서산시,176630,92088,84542,44210
논산시,114430,57108,57322,44230
계룡시,43338,21593,21745,44250
금산군,50335,25383,24952,44710
부여군,63599,31547,32052,44760
서천군,50703,25057,25646,44770
청양군,30396,15444,14952,44790
홍성군,99267,49426,49841,44800
예산군,76703,38528,38175,44810
태안군,61462,31002,30460,44825
완산구,335292,163258,172034,45111
덕진구,321474,159949,161525,45113
군산시,265160,134203,130957,45130
익산시,277664,138206,139458,45140
정읍시,106534,52927,53607,45180
남원시,79308,38907,40401,45190
김제시,80933,40192,40741,45210
완주군,91060,46821,44239,45710
진안군,24957,12661,12296,45720
무주군,23735,11807,11928,45730
장수군,21683,10821,10862,45740
임실군,26686,13645,13041,45750
순창군,26768,13139,13629,45770
고창군,53366,26500,26866,45790
부안군,50772,25255,25517,45800
목포시,218700,108833,109867,46110
여수시,276957,141173,135784,46130
순천시,280699,140117,140582,46150
나주시,116601,58813,57788,46170
광양시,151796,79278,72518,46230
담양군,46144,23401,22743,46710
곡성군,27508,13530,13978,46720
구례군,25173,12268,12905,46730
고흥군,62631,30497,32134,46770
보성군,39292,19172,20120,46780
화순군,62584,30901,31683,46790
장흥군,36514,17776,18738,46800
강진군,33664,16331,17333,46810
해남군,67099,33247,33852,46820
영암군,53022,27529,25493,46830
무안군,91102,45776,45326,46840
함평군,31157,15690,15467,46860
영광군,52045,25976,26069,46870
장성군,43343,22191,21152,46880
완도군,48481,24408,24073,46890
진도군,29996,14883,15113,46900
신안군,38096,20400,17696,46910
남구,230563,119294,111269,47111
북구,272841,135718,137123,47113
경주시,251627,125864,125763,47130
김천시,140144,70248,69896,47150
안동시,156729,77463,79266,47170
구미시,412345,211954,200391,47190
영주시,101879,50550,51329,47210
영천시,101634,51600,50034,47230
상주시,95615,46875,48740,47250
문경시,70935,34807,36128,47280
경산시,268157,134859,133298,47290
군위군,23008,11795,11213,47720
의성군,50561,24782,25779,47730
청송군,24535,12262,12273,47750
영양군,16289,8137,8152,47760
영덕군,35282,16785,18497,47770
청도군,41903,20602,21301,47820
고령군,30623,15732,14891,47830
성주군,42916,22254,20662,47840
칠곡군,113683,59203,54480,47850
예천군,55718,27379,28339,47900
봉화군,30682,15505,15177,47920
울진군,47775,23979,23796,47930
울릉군,8866,4862,4004,47940
의창구,217823,110898,106925,48121
성산구,251315,128187,123128,48123
마산합포구,181339,90142,91197,48125
마산회원구,186598,93517,93081,48127
진해구,194873,100055,94818,48129
진주시,346733,171450,175283,48170
통영시,125128,62788,62340,48220
사천시,109916,55409,54507,48240
김해시,537601,271874,265727,48250
밀양시,103466,50825,52641,48270
거제시,240802,126068,114734,48310
양산시,354699,177719,176980,48330
의령군,26343,12973,13370,48720
함안군,62531,31830,30701,48730
창녕군,59987,29888,30099,48740
고성군,50339,25225,25114,48820
남해군,42255,20449,21806,48840
하동군,43315,21632,21683,48850
산청군,34303,16901,17402,48860
함양군,38301,18527,19774,48870
거창군,60916,29890,31026,48880
합천군,42855,20721,22134,48890
제주시,492919,246352,246567,50110
서귀포시,183772,92719,91053,50130
